station,name,year,month,precipitation_sum,max_temp_mean,min_temp_mean,avg_temp_mean,monthly_price_mean,monthly_price_last
GHM00065459,KOFORIDUA,2017,5,3.92,89.82745098039216,74.07164502164503,81.23809523809524,1983.0421348314608,2065.74
GHM00065457,AKIM ODA,2017,5,4.13,91.57610294117647,73.74431818181819,82.1875,1983.0421348314608,2065.74
GHM00065453,HO,2017,5,1.03,90.26797385620915,74.60521885521887,82.33333333333333,1983.0421348314608,2065.74
GHM00065442,KUMASI,2017,5,2.79,90.36696832579186,73.9,80.92307692307692,1983.0421348314608,2065.74
GHM00065439,SUNYANI,2017,5,1.1,90.07151702786378,74.04576213260424,81.57894736842105,1983.0421348314608,2065.74
GHM00065432,WENCHI,2017,5,0.75,90.28300653594772,73.64244485673058,82.33333333333333,1983.0421348314608,2065.74
GHM00065445,SEFWI BEKWAI,2017,5,3.4800000000000004,91.71624649859943,75.04547515976087,82.61904761904762,1983.0421348314608,2065.74
GHM00065472,KOTOKA INTERNATIONAL,2017,6,2.59,86.5030303030303,76.24242424242424,80.4090909090909,1994.2692441860465,1988.14
GHM00065467,TAKORADI,2017,6,6.9799999999999995,86.74836601307189,74.6813725490196,81.29411764705883,1994.2692441860465,1988.14
GHM00065465,AXIM,2017,6,2.2300000000000004,86.64035087719299,74.96929824561404,80.57894736842105,1994.2692441860465,1988.14
GHM00065459,KOFORIDUA,2017,6,3.91,87.33333333333334,73.86274509803923,79.76470588235294,1994.2692441860465,1988.14
GHM00065457,AKIM ODA,2017,6,6.73,88.38148148148147,74.17222222222222,80.73333333333333,1994.2692441860465,1988.14
GHM00065445,SEFWI BEKWAI,2017,6,1.55,88.01111111111112,74.21969696969697,80.27272727272727,1994.2692441860465,1988.14
GHM00065442,KUMASI,2017,6,2.53,86.74545454545455,73.13636363636364,78.9090909090909,1994.2692441860465,1988.14
GHM00065439,SUNYANI,2017,6,0.65,87.29239766081872,73.59649122807018,79.52631578947368,1994.2692441860465,1988.14
GHM00065432,WENCHI,2017,6,2.73,87.86719576719577,72.68253968253968,79.9047619047619,1994.2692441860465,1988.14
GHM00065453,HO,2017,6,1.3,88.10493827160494,73.62037037037038,81.33333333333333,1994.2692441860465,1988.14
GHM00065472,KOTOKA INTERNATIONAL,2017,7,0.67,83.4,74.565625,78.1,1987.5867924528302,2110.81
GHM00065467,TAKORADI,2017,7,1.66,82.875,73.24166666666667,78.5,1987.5867924528302,2110.81
GHM00065465,AXIM,2017,7,5.319999999999999,83.29411764705883,74.04264705882352,78.47058823529412,1987.5867924528302,2110.81
GHM00065459,KOFORIDUA,2017,7,0.33,84.19298245614036,72.49473684210527,78.15789473684211,1987.5867924528302,2110.81
GHM00065457,AKIM ODA,2017,7,0.03,83.65,73.14708333333333,78.4,1987.5867924528302,2110.81
GHM00065445,SEFWI BEKWAI,2017,7,5.05,85.19444444444444,73.35925925925926,78.83333333333333,1987.5867924528302,2110.81
GHM00065442,KUMASI,2017,7,1.82,84.71428571428571,72.84970238095238,77.85714285714286,1987.5867924528302,2110.81
GHM00065439,SUNYANI,2017,7,0.39,84.82407407407408,72.51481481481481,78.33333333333333,1987.5867924528302,2110.81
GHM00065432,WENCHI,2017,7,5.66,84.175,72.110625,77.9,1987.5867924528302,2110.81
GHM00065453,HO,2017,7,0.02,85.35714285714286,73.48333333333333,79.14285714285714,1987.5867924528302,2110.81
GHM00065459,KOFORIDUA,2017,8,0.39,83.69968434343434,72.20222222222222,77.95,1987.3911560693641,1968.96
GHM00065472,KOTOKA INTERNATIONAL,2017,8,0.14,82.30957300275482,73.22323232323232,77.27272727272727,1987.3911560693641,1968.96
GHM00065467,TAKORADI,2017,8,0.08,82.58808674985146,72.51928104575164,77.47058823529412,1987.3911560693641,1968.96
GHM00065465,AXIM,2017,8,0.03,81.62457912457913,73.15277777777777,77.33333333333333,1987.3911560693641,1968.96
GHM00065457,AKIM ODA,2017,8,0.0,83.6,72.51666666666667,78.6,1987.3911560693641,1968.96
GHM00065432,WENCHI,2017,8,0.8,82.33794191919192,71.88277777777778,76.45,1987.3911560693641,1968.96
GHM00065445,SEFWI BEKWAI,2017,8,0.060000000000000005,84.39797979797979,73.03944444444446,78.6,1987.3911560693641,1968.96
GHM00065442,KUMASI,2017,8,0.24,82.60827020202021,72.21972222222222,76.65,1987.3911560693641,1968.96
GHM00065439,SUNYANI,2017,8,0.0,81.70422979797979,71.9107638888889,76.3125,1987.3911560693641,1968.96
GHM00065453,HO,2017,8,0.02,83.02028619528619,72.68148148148148,77.66666666666667,1987.3911560693641,1968.96
GHM00065459,KOFORIDUA,2017,9,1.18,85.42337662337663,72.55331262939958,78.85714285714286,1996.9113294797687,2050.42
GHM00065472,KOTOKA INTERNATIONAL,2017,9,1.52,83.98679653679653,73.77277432712215,78.14285714285714,1996.9113294797687,2050.42
GHM00065467,TAKORADI,2017,9,0.31000000000000005,83.59469696969697,73.04734299516909,78.27777777777777,1996.9113294797687,2050.42
GHM00065465,AXIM,2017,9,0.0,83.94646464646465,73.3384460547504,78.33333333333333,1996.9113294797687,2050.42
GHM00065457,AKIM ODA,2017,9,0.8799999999999999,84.11168831168831,72.01863354037268,79.71428571428571,1996.9113294797687,2050.42
GHM00065432,WENCHI,2017,9,2.1300000000000003,85.48136363636364,72.15282608695652,78.95,1996.9113294797687,2050.42
GHM00065445,SEFWI BEKWAI,2017,9,2.13,86.78227272727273,73.34130434782608,79.95,1996.9113294797687,2050.42
GHM00065442,KUMASI,2017,9,2.35,85.2004329004329,72.2432712215321,78.0952380952381,1996.9113294797687,2050.42
GHM00065439,SUNYANI,2017,9,1.7400000000000002,85.30424242424242,72.73647342995169,78.0,1996.9113294797687,2050.42
GHM00065453,HO,2017,9,0.26,84.73484848484848,72.19076086956521,79.08333333333333,1996.9113294797687,2050.42
GHM00065472,KOTOKA INTERNATIONAL,2017,10,0.08,89.29901613537977,75.64015151515152,81.45454545454545,2096.4903260869564,2095.5
GHM00065467,TAKORADI,2017,10,1.8900000000000001,88.57443609022556,74.8157894736842,81.52631578947368,2096.4903260869564,2095.5
GHM00065465,AXIM,2017,10,0.24000000000000002,87.87333333333332,75.37777777777778,81.53333333333333,2096.4903260869564,2095.5
GHM00065459,KOFORIDUA,2017,10,1.42,90.27473435655253,72.99053030303031,80.86363636363636,2096.4903260869564,2095.5
GHM00065457,AKIM ODA,2017,10,0.2,89.5,73.5,80.14285714285714,2096.4903260869564,2095.5
GHM00065445,SEFWI BEKWAI,2017,10,4.49,90.99318181818181,73.94166666666666,81.8,2096.4903260869564,2095.5
GHM00065442,KUMASI,2017,10,0.32,89.61471861471861,73.62268518518518,80.94444444444444,2096.4903260869564,2095.5
GHM00065439,SUNYANI,2017,10,0.71,89.47823129251701,73.35119047619048,81.33333333333333,2096.4903260869564,2095.5
GHM00065432,WENCHI,2017,10,4.9799999999999995,89.59136363636364,72.025,79.7,2096.4903260869564,2095.5
GHM00065453,HO,2017,10,1.62,89.6032251082251,72.15208333333334,81.45,2096.4903260869564,2095.5
GHM00065459,KOFORIDUA,2017,11,0.0,90.86768707482993,73.5345238095238,81.64285714285714,2120.7491452991453,2056.66
GHM00065472,KOTOKA INTERNATIONAL,2017,11,0.02,89.81615312791783,76.45882352941176,82.58823529411765,2120.7491452991453,2056.66
