year_month,year,month,precipitation_mean,precipitation_sum,precipitation_count,max_temp_mean,max_temp_max,min_temp_mean,min_temp_min,avg_temp_mean,avg_temp_std,price_usd_per_tonne_mean,price_usd_per_tonne_std,Buying_mean,Buying_std,Selling_mean,Selling_std,Mid Rate_mean,Mid Rate_std
2002-08,2002,8,0.0,0.0,0,82.5,84.0,71.75,70.0,77.66666666666667,1.6329931618554532,1960.4681818181818,89.68905871777032,7993.1618181818185,8.005654332951183,8216.821363636363,15.91604649864952,8104.991590909091,11.900864152934005
2002-09,2002,9,0.0,0.0,0,83.0,83.0,72.62105280701755,70.33333333333333,78.0,2.6602486870447053,2163.937142857143,64.56454136310867,8017.199523809524,11.544021602626783,8238.05619047619,4.560603552371493,8127.6278571428575,7.856401620880691
2002-10,2002,10,0.0,0.0,0,87.0,87.0,73.49210561403508,70.66666666666667,80.79166666666667,2.2837643727287027,2205.2621739130436,163.0014739463899,7735.475217391304,1686.4332351765088,7922.549565217392,1727.1470332642325,7829.012391304348,1706.7865415937672
2002-11,2002,11,0.10417846153846154,1.35432,13,90.53571428571429,94.0,74.36315842105263,71.0,81.677778,1.8743750481701245,1814.0652380952383,65.07177657164782,8154.981904761905,29.76993846467348,8096.87,981.1273166108465,8125.925952380952,492.8022732410512
2002-12,2002,12,0.0008888888888888889,0.008,9,90.31515181818182,91.66667,73.30175421052631,61.0,81.60913967741936,2.295663803054915,2022.7240000000002,91.29987913752296,8227.827894736844,23.613744956637582,8402.875263157895,38.140313808709934,8315.351578947368,30.843144207274698
2003-01,2003,1,0.019666666666666666,0.354,18,90.44444458333334,93.0,74.01314076923077,67.0,81.66006129032259,1.616679939414404,2184.728181818182,84.7944758216602,7934.817272727273,1772.4657200397467,8131.186363636364,1816.4719579960895,8033.001818181819,1794.4577024971352
2003-02,2003,2,0.0359375,0.2875,8,92.3916675,94.16667,76.37724888888889,72.5,83.42015866666667,1.271453535277451,2239.2650000000003,128.73182461388893,7992.192,1881.2969919337427,8166.844999999999,1922.3514699573975,8079.5185,1901.811557432669
2003-03,2003,3,0.03888866666666667,0.58333,15,94.0519611764706,98.0,75.73412666666667,71.0,84.35215032258064,2.130670084074466,1994.7190476190476,47.723910978121076,8463.249,15.336883269460056,8652.4315,13.272126024512254,8557.84025,13.931957817135737
2003-04,2003,4,0.14608300000000002,1.46083,10,90.11666687499999,94.0,75.51904714285715,71.5,82.67413827586206,2.3737634873777194,1927.6771428571428,39.59755524560289,8505.913,59.97552694751053,8712.9825,15.678463899986461,8609.44775,31.062170446203027
2003-05,2003,5,0.16251833333333332,2.9253299999999998,18,90.82807052631578,94.5,75.48039176470589,72.0,82.81720387096775,1.7252779115738142,1749.7247619047619,121.25932865635734,8548.7125,17.52249107350412,8737.8335,4.642763781016594,8643.273,9.679729144754162
2003-06,2003,6,0.3134126315789474,5.95484,19,85.994444,89.0,73.39682523809523,70.33333,79.05944433333335,1.3026034647335092,1579.1090476190477,44.33031309440087,8585.429047619047,7.614550482308699,8754.016666666666,3.3364971651918314,8669.722857142857,5.372199403278055
2003-07,2003,7,0.07630187499999999,1.2208299999999999,16,85.13045157894737,89.66667,72.44166666666666,69.0,78.24838709677418,1.5115625153312795,1560.3130434782609,80.87642231065084,8597.822272727273,20.04174831548189,8770.132272727273,6.035424734979827,8683.977272727272,10.721345278870022
2003-08,2003,8,0.066875,1.605,24,84.07417576923078,89.0,72.098572,68.5,77.4148235483871,1.2020599418568876,1571.4476190476191,109.69133205977415,8609.838095238096,13.51222506438065,8783.398095238095,8.093266719345909,8696.618095238096,6.578812483304562
2003-09,2003,9,0.07504421052631578,1.42584,19,86.65162318181818,90.66667,73.95486083333334,72.0,79.01571433333334,1.5057041813479952,1631.584090909091,79.5881690573172,8847.302272727273,1081.9813388846353,9030.500909090908,1104.8195201885285,8938.90159090909,1093.400042817931
2003-10,2003,10,0.3312585,6.62517,20,89.06578894736842,92.0,74.3246664,70.2,80.87634451612902,1.8099761924416546,1481.9343478260869,63.10763380030581,8640.023913043478,27.94941627933806,8796.15695652174,25.912155525015223,8718.090434782609,25.37333545427337
2003-11,2003,11,0.13191052631578948,2.5063,19,90.661458125,93.5,74.20310521739131,71.0,81.62944466666666,1.9204869684315515,1511.034,51.94618747977772,8234.208421052632,1994.167629469786,8347.663157894736,2021.657838991589,8290.935789473684,2007.8843559095449
2003-12,2003,12,0.14964285714285713,2.0949999999999998,14,90.31386470588235,92.0,74.39015136363636,65.33333,81.84208903225807,2.1646976371268023,1627.2809523809524,55.492517054532854,8724.804,5.703230294270019,8867.483,8.162379103641614,8796.1435,6.74884709452229
2004-01,2004,1,0.08769230769230768,1.14,13,91.332222,94.6,74.16904761904762,67.0,81.70698935483871,1.7946926782710102,1624.2819047619046,54.108632917404854,8754.441428571428,12.682989902114114,8882.896666666667,6.857744041107249,8818.669047619047,9.292356081620186
2004-02,2004,2,0.144667,1.44667,10,92.53435357142858,95.5,74.05595214285714,65.5,82.80753944444444,2.384868091109817,1569.1245,39.25093662643779,8801.302105263158,17.98886309141309,8926.172631578947,24.662615397511814,8863.737368421052,21.174393823699763
2004-03,2004,3,0.07969681818181819,1.75333,22,93.58653846153847,97.0,75.76666653846154,67.5,83.87711225806453,1.709039617950596,1504.4265217391303,36.4875475157678,8843.437272727273,14.573165875552482,9012.392272727273,37.27627739586431,8927.914772727272,25.51291794540086
